location_id	year	sitc_eci	hs_eci	growth_proj	sitc_eci_rank	hs_eci_rank	code
2	1995	-2.0012233	-2.1483672		"127"	217	"AGO"
2	1996	-2.120867	-2.144461		"129"	215	"AGO"
2	1997	-1.8003304	-1.4248699		"127"	204	"AGO"
2	1998	-1.7567382	-1.6502286		"127"	206	"AGO"
2	1999	-1.7033696	-1.3845644		"124"	202	"AGO"
2	2000	-1.8576258	-1.9126587		"131"	227	"AGO"
2	2001	-2.1408622	-1.4409485		"132"	219	"AGO"
2	2002	-1.5975367	-1.8685926		"130"	229	"AGO"
2	2003	-1.8841894	-1.9302694		"132"	228	"AGO"
2	2004	-0.8724604	-0.9373117	4.46	"105"	188	"AGO"
2	2005	-1.9204426	-1.6096406	2.98	"131"	223	"AGO"
2	2006	-2.0829785	-2.0495787	2.89	"133"	230	"AGO"
2	2007	-2.026813	-1.6504617	2.74	"133"	224	"AGO"
2	2008	-1.8731891	-2.1561146	2.77	"132"	229	"AGO"
2	2009	-1.4405891	-0.8217617	2.74	"127"	186	"AGO"
2	2010	-1.712401	-1.2178421	2.56	"130"	213	"AGO"
2	2011	-1.4886942	-1.120719	2.82	"126"	210	"AGO"
2	2012	-1.3318986	-1.2980464	2.81	"121"	218	"AGO"
2	2013	-1.1433817	-1.028555	3.3	"117"	199	"AGO"
2	2014	-1.4310192	-1.665862	2.39	"125"	228	"AGO"
2	2015	-1.3834285	-1.6401953	5.14	"125"	225	"AGO"
2	2016	-1.3680601	-1.2738329	3.66	"125"	213	"AGO"
2	2017	-1.8220365	-1.6690285	3.28	"132"	227	"AGO"
4	1995	-0.5601296	-0.41794237		"88"	147	"ALB"
4	1996	-0.38997906	-0.28261548		"79"	132	"ALB"
4	1997	-0.36467475	-0.29479188		"78"	126	"ALB"
4	1998	-0.34678504	-0.3128517		"80"	131	"ALB"
4	1999	-0.26945806	-0.1781648		"71"	120	"ALB"
4	2000	-0.12970214	-0.05137958		"70"	119	"ALB"
